Vespula_maculifrons,advanced_eusocial,1,cavity,progressive,seasonal,adult,
Vespa_orientalus,advanced_eusocial,1,cavity,progressive,seasonal,adult,
Vespa_simillima,advanced_eusocial,1,cavity/aerial,progressive,seasonal,adult,
Vespa_tropica,advanced_eusocial,1-multiple,cavity/aerial,progressive,seasonal,adult,
Apis_mellifera,advanced_eusociality,swarm,cavity,progressive,seasonal/aseasonal,reproductive quiesence/none,
Apis_florea,advanced_eusociality,swarm,aerial,progressive,aseasonal,none,
Apis_dorsata,advanced_eusociality,swarm,aerial,progressive,aseasonal,none,
Apis_cerana,advanced_eusociality,swarm,cavity,progressive,,none,
Tetragonisca_angustula,advanced_eusociality,swarm,cavity,mass,seasonal,reproductive quiesence/none,
Partamona_testacea,advanced_eusociality,swarm,cavity,mass,,,
Plebeia_droryana,advanced_eusociality,swarm,cavity,mass,seasonal,reproductive quiesence,
Melipona_quadrifasciata,advanced_eusociality,swarm,cavity,mass,seasonal,reproductive quiesence,
Melipona_eburnea,advanced_eusociality,swarm,cavity,mass,,,
Melipona_scutellaris,advanced_eusociality,swarm,cavity,mass,,,
Tetragonula_carbonaria,advanced_eusociality,swarm,cavity,mass,seasonal,none,
Hypotrigona_gribodoi,advanced_eusociality,swarm,cavity,mass,,,
Liotrigona_madecassa,advanced_eusociality,swarm,cavity,mass,,,
Axestotrigona_ferruginea,advanced_eusociality,swarm,cavity,mass,,,
Plebeina_hildebrandti,advanced_eusociality,swarm,cavity,mass,,,
Svastra_sabinensis_sabinensis,communal,multiple,ground,mass,seasonal,prepupal,
Euglossa_nigropilosa,communal,22-Jan,cavity,mass,,none,
Euglossa_cybelia,communal,5-Apr,aerial,mass,seasonal,none,
Euglossa_championi,communal,4-Jan,aerial,mass,,,
Euglossa_hyacinthina,communal,5-Jan,aerial,mass,seasonal,none,
Euglossa_annectans,communal,2-Jan,stem/wood,mass,seasonal,,
Eulaema_nigrita,communal,7-Jan,cavity,mass,seasonal,none,
Agapostemon_angelicus,communal,multiple,ground,mass,seasonal,,
Agapostemon_obliquus,communal,multiple,ground,mass,seasonal,,
Agapostemon_virescens,communal,multiple,ground,mass,seasonal,adult,
Agapostemon_nasutus,communal,multiple,ground,mass,seasonal,,
Habralictus_canaliculatus,communal,multiple,ground,mass,,,
Ruizantheda_mutabilis,communal,multiple,,,seasonal,,
Ruizantheda_proxima,communal,multiple,,,,,
Lasioglossum_comagenense,communal,6-Jan,ground,mass,seasonal,adult,
Lasioglossum_dimorphum,communal,multiple,ground,mass,seasonal,,
Lasioglossum_erythrurum,communal,multiple,ground,mass,seasonal,,
Lasioglossum_mesembryanthemi,communal,multiple,ground,mass,,,
Lasioglossum_lanarium,communal,,,,,,
Lasioglossum_raymenti,communal,multiple,ground,mass,seasonal,adult,
Lasioglossum_sphecodoides,communal,multiple,,,,,
Lasioglossum_majus,communal,multiple,ground,mass,seasonal,,
Lasioglossum_ohei,communal,multiple,ground,mass,,,
Lasioglossum_pallidulum,communal,multiple,ground,mass,seasonal,adult,
Nomia_tetrazonata,communal,multiple,ground,mass,,,
Pseudapis_oxybeloides,communal,multiple,,,,prepupal,
Hoplonomia_westwoodi,communal,multiple,ground,,seasonal,none,
Lasioglossum_asperithorax,communal_and_solitary,multiple,ground,mass,seasonal,,
Patellapis_doleritica,communal/ambiguous,8-Mar,ground,mass,seasonal,,
Spilomena_subterranea,communal/_quasisocial/_subsocial/ambiguous,1-multiple,ground,progressiveambiguous,seasonal,,
Augochloropsis_sumptuosa,communal/semisocial,2-Jan,ground,mass,seasonal,adult,
Megalopta_centralis,communal/semisocial,1-mutliple,stem/wood,mass,,,
Lipotriches_australica,communal/semisocial,multiple,ground,mass,seasonal,,
